month,CTV,display,native,video
2019-11-01,56182.40366385,273085.13944965013,519593.8054229999,183882.86540069996
2019-12-01,62856.68133704997,351618.0156275997,523165.0441938002,209808.23226419996
2020-01-01,50160.89110470001,188693.62135275,320419.22343645024,107505.91911209984
2020-02-01,83015.11844444998,250523.5372203001,348180.3869171998,197068.48486095015
2020-03-01,75013.93999500002,309932.5606349995,340529.9222999994,174419.27710499996
2020-04-01,58260.392445000005,243478.49975999995,246920.71452000015,102644.69587500002
2020-05-01,82450.70005499996,287237.99030999985,305858.9590050001,113200.13598000005
2020-06-01,117066.80904000002,398866.4301149998,490723.5938999998,154517.72881499998
2020-07-01,162355.29001499995,459961.5906899994,394665.1847999999,227101.43524499986
2020-08-01,192268.00452000002,449418.3863699996,444036.0193799999,311754.6550050002
2020-09-01,336780.076875,510400.2706350001,616350.2157900002,736398.9463199999
2020-10-01,438700.4212050002,824421.6340650001,628847.0698650002,919878.7961849994
